,name,DM,drift,drift_error,amplitude,xo,yo,sigmax,sigmay,theta,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error
85,2.0,557.6379473684211,-641.8490715904719,0.48996676625832397,81.50637721196652,512.4936281186964,512.4746891500472,178.84619945239209,44.3569636961318,11.228973434324425,0.03746740360022086,0.027468128472688463,0.08010489200557021,0.08239515273502807,0.02037987675675945,0.00017176893589791723
86,3.0,557.6379473684211,-1852.8698435307613,1.121264095046927,184.3908857812872,512.4960010540852,512.3515182098284,19.156964893462597,171.00156610068754,6.3653520840817714,0.05689474689538213,0.007309458540333085,0.05257881950688104,0.00590897004684243,0.052848014297088436,4.9499722800779924e-05
87,4.0,557.6379473684211,-917.2879285017559,15.189764910045971,4.125904810185681,512.4012955701367,512.5536576233353,162.61613707010363,26.757342259830825,1.735633744219369,0.04625230040749897,0.4202682842576087,1.7969220881940986,1.8221334623032308,0.2996705570789673,0.0026804367165563876
88,5.0,557.6379473684211,-1476.9552319494137,33.25587532370359,5.519490970006116,512.4746710048885,512.5439855747326,37.260932815081034,167.27169857898522,3.244539890675131,0.03836073057531829,0.283588055946122,1.1552803418355557,0.25856541948036604,1.162551466093661,0.0023016693022430024
89,6.0,557.6379473684211,-2892.3451233505243,2.4973625769135643,154.06726946750126,512.4937487308489,511.78448114637683,158.53969180769147,12.288339716295143,1.6235032343873452,0.06345861833749958,0.006114210206918337,0.06520946553690621,0.0653343123888916,0.0050614897174176745,4.5424944550798115e-05
90,7.0,557.6379473684211,-820.1684025501035,0.5435715812786496,269.7776023000152,512.496269773078,512.4679677085874,103.28675795954766,38.59901763194062,1.7547379217987111,0.05233969968322897,0.008224008539392673,0.019748068409608265,0.020038539120740266,0.007488489116826156,0.00011917714760026094
91,8.0,557.6379473684211,-317.36754053507315,0.05658018150055507,246.01320665008924,512.4947658298285,512.4947255041254,173.66753485583396,63.84988759527206,2.0189600932234404,0.028491942881646595,0.010970123132732788,0.018406618016505446,0.020122586860433993,0.007393524077139304,6.962167024791029e-05
92,11.0,557.6379473684211,-855.2128822968014,4.810276449484112,11.934050183999387,512.4997030814856,512.4174202478026,183.8167965713779,39.34533967753886,1.7473593457805021,0.036630473725082324,0.1545701731932203,0.555476677720255,0.5661517507420869,0.12055837670713597,0.0009725944544535323
93,12.0,557.6379473684211,-836.9825555656997,0.7478518562964106,82.47018904938095,512.4981871754032,512.4566233681641,28.410906208406363,139.32269890896694,0.18032676440881834,0.04320977808664022,0.019642154761281595,0.07185919460336711,0.014885035103534158,0.07299498430947302,0.00015765340269675404
94,13.0,557.6379473684211,-776.0691559063533,0.14599569699600595,927.3417915960279,512.4990497444339,512.4628378236517,142.6024058891136,40.238459593043935,1.7649362773370236,0.07616719029515673,0.0039524251875377725,0.011510050508562781,0.011712911109918836,0.0033049142026809054,3.5611208460809014e-05
